bin_start_year,bin_end_year,longitude,latitude,E_mean,E_sd,settlement_field,exchange_field,connectivity_field,production_field,is_land,dist_coast_km,in_support
-700,-675,14.25,35.75,-0.6035,0.4477,-0.4,-1.704,-0.6999,-0.356,False,113.1,False
-700,-675,14.5,35.75,-0.5427,0.4402,-0.3368,-1.5485,-0.6527,-0.3371,False,108.1,False
-700,-675,14.75,35.75,-0.4879,0.4364,-0.2782,-1.408,-0.6121,-0.3193,False,103.0,False
-700,-675,15.0,35.75,-0.4421,0.4367,-0.2269,-1.2902,-0.5811,-0.3035,False,99.6,False
-700,-675,15.25,35.75,-0.4074,0.4422,-0.1849,-1.2006,-0.5616,-0.2902,False,100.4,False
-700,-675,15.5,35.75,-0.3848,0.4542,-0.1532,-1.1415,-0.5543,-0.2799,False,105.1,False
-700,-675,15.75,35.75,-0.3741,0.4736,-0.1319,-1.1124,-0.5587,-0.2724,False,113.4,False
-700,-675,16.0,35.75,-0.3739,0.5,-0.1202,-1.1099,-0.5731,-0.2674,False,124.0,False
-700,-675,16.25,35.75,-0.3821,0.5308,-0.1169,-1.1286,-0.5948,-0.2643,False,136.8,False
-700,-675,16.5,35.75,-0.3961,0.5626,-0.1198,-1.1612,-0.6206,-0.2624,False,151.3,False
-700,-675,16.75,35.75,-0.4126,0.5918,-0.1269,-1.1998,-0.6469,-0.2607,False,167.1,False
-700,-675,17.0,35.75,-0.4287,0.6162,-0.1359,-1.2366,-0.67,-0.2583,False,183.6,False
-700,-675,17.25,35.75,-0.4416,0.6349,-0.1448,-1.2644,-0.687,-0.2546,False,200.9,False
-700,-675,17.5,35.75,-0.4492,0.6485,-0.1521,-1.2778,-0.6953,-0.2488,False,218.7,False
-700,-675,17.75,35.75,-0.4499,0.6584,-0.1566,-1.2728,-0.6931,-0.2407,False,237.0,False
-700,-675,18.0,35.75,-0.4431,0.6655,-0.1579,-1.2476,-0.6797,-0.23,False,255.6,False
-700,-675,18.25,35.75,-0.4288,0.6692,-0.1559,-1.2025,-0.6551,-0.2168,False,274.5,False
-700,-675,18.5,35.75,-0.4077,0.6669,-0.1512,-1.1392,-0.6202,-0.2013,False,293.6,False
-700,-675,18.75,35.75,-0.3808,0.6539,-0.1445,-1.0606,-0.5764,-0.184,False,312.7,False
-700,-675,19.0,35.75,-0.3497,0.6254,-0.1367,-0.9704,-0.5254,-0.1652,False,331.2,False
-700,-675,6.5,36.0,-0.4,0.6254,-0.3442,-1.058,-0.3772,-0.1478,False,362.0,False
-700,-675,6.75,36.0,-0.4588,0.6708,-0.395,-1.2142,-0.4314,-0.1706,False,352.5,False
-700,-675,7.0,36.0,-0.5171,0.7001,-0.4454,-1.3695,-0.4854,-0.1934,False,344.0,False
-700,-675,7.25,36.0,-0.5721,0.7182,-0.4928,-1.5159,-0.5359,-0.2153,False,336.5,False
-700,-675,7.5,36.0,-0.6206,0.7301,-0.5348,-1.6457,-0.5797,-0.2354,False,330.2,False
-700,-675,7.75,36.0,-0.6597,0.7395,-0.5692,-1.7513,-0.6137,-0.2528,False,325.0,False
-700,-675,8.0,36.0,-0.6874,0.748,-0.5941,-1.8274,-0.6357,-0.267,False,321.0,False
-700,-675,8.25,36.0,-0.7025,0.7553,-0.6087,-1.871,-0.6444,-0.2777,False,318.3,False
-700,-675,8.5,36.0,-0.7052,0.7603,-0.613,-1.8825,-0.6401,-0.2847,False,316.9,False
-700,-675,8.75,36.0,-0.6969,0.7618,-0.6083,-1.8659,-0.6246,-0.2887,False,316.8,False
-700,-675,9.0,36.0,-0.6803,0.7596,-0.5966,-1.8279,-0.6008,-0.2904,False,318.1,False
-700,-675,9.25,36.0,-0.6591,0.7544,-0.5808,-1.7781,-0.5729,-0.2909,False,319.8,False
-700,-675,9.5,36.0,-0.6376,0.7475,-0.5643,-1.7274,-0.5455,-0.2914,False,308.0,False
-700,-675,9.75,36.0,-0.6199,0.7401,-0.5503,-1.687,-0.5235,-0.2932,False,291.9,False
-700,-675,10.0,36.0,-0.6101,0.7324,-0.542,-1.6667,-0.5111,-0.2975,False,276.4,False
-700,-675,10.25,36.0,-0.611,0.7237,-0.5415,-1.6742,-0.5117,-0.3051,False,261.4,False
-700,-675,10.5,36.0,-0.6242,0.7128,-0.5502,-1.7136,-0.5271,-0.3164,False,247.2,False
-700,-675,10.75,36.0,-0.6497,0.6984,-0.5678,-1.7849,-0.5574,-0.3314,False,233.6,False
-700,-675,11.0,36.0,-0.686,0.6797,-0.5931,-1.8839,-0.6009,-0.3495,False,220.4,False
-700,-675,11.25,36.0,-0.7297,0.6572,-0.6235,-2.0021,-0.6542,-0.3698,False,208.3,False
-700,-675,11.5,36.0,-0.7764,0.6324,-0.6551,-2.1281,-0.7123,-0.3907,False,197.6,False
-700,-675,11.75,36.0,-0.8208,0.6073,-0.6839,-2.248,-0.7696,-0.4107,False,188.5,False
-700,-675,12.0,36.0,-0.8573,0.5834,-0.7053,-2.3477,-0.8199,-0.428,False,181.2,False
-700,-675,12.25,36.0,-0.8809,0.5615,-0.7152,-2.4136,-0.8578,-0.4409,False,172.7,False
-700,-675,12.5,36.0,-0.8873,0.5413,-0.7101,-2.4349,-0.8784,-0.4482,False,161.9,False
-700,-675,12.75,36.0,-0.8736,0.5217,-0.688,-2.4043,-0.8787,-0.449,False,151.3,False
-700,-675,13.0,36.0,-0.8389,0.5017,-0.6481,-2.3193,-0.8575,-0.4429,False,141.3,False
-700,-675,13.25,36.0,-0.7843,0.4808,-0.5911,-2.1822,-0.8157,-0.43,False,132.3,False
-700,-675,13.5,36.0,-0.7124,0.4595,-0.5194,-2.0003,-0.7563,-0.4113,False,119.2,False
-700,-675,13.75,36.0,-0.6278,0.4394,-0.4368,-1.7852,-0.6839,-0.3879,False,106.3,False
-700,-675,14.0,36.0,-0.5363,0.4218,-0.3479,-1.5518,-0.6047,-0.3617,False,96.0,False
-700,-675,14.25,36.0,-0.4442,0.408,-0.258,-1.3162,-0.5252,-0.3344,False,87.4,False
-700,-675,14.5,36.0,-0.3579,0.3986,-0.1726,-1.0952,-0.4523,-0.308,False,81.0,False
-700,-675,14.75,36.0,-0.2833,0.3938,-0.0963,-0.9037,-0.392,-0.2843,False,76.7,True
-700,-675,15.0,36.0,-0.225,0.3941,-0.0334,-0.7538,-0.3491,-0.2645,False,72.1,True
-700,-675,15.25,36.0,-0.1862,0.4008,0.0135,-0.6536,-0.3267,-0.2497,False,73.1,True
-700,-675,15.5,36.0,-0.1682,0.4153,0.0431,-0.6063,-0.3259,-0.2403,False,79.5,True
-700,-675,15.75,36.0,-0.1704,0.4383,0.0553,-0.6105,-0.3457,-0.2362,False,89.5,False
-700,-675,16.0,36.0,-0.1905,0.4689,0.0519,-0.6601,-0.3834,-0.2366,False,102.6,False
-700,-675,16.25,36.0,-0.2248,0.5041,0.0354,-0.7455,-0.4344,-0.2406,False,117.7,False
-700,-675,16.5,36.0,-0.2684,0.5403,0.0094,-0.8543,-0.4934,-0.2466,False,134.2,False
-700,-675,16.75,36.0,-0.3162,0.574,-0.0223,-0.973,-0.5543,-0.2533,False,151.5,False
-700,-675,17.0,36.0,-0.363,0.603,-0.0557,-1.0883,-0.6114,-0.259,False,169.6,False
-700,-675,17.25,36.0,-0.4042,0.6264,-0.0874,-1.1883,-0.6594,-0.2626,False,188.1,False
-700,-675,17.5,36.0,-0.4361,0.6447,-0.1146,-1.2635,-0.6941,-0.2629,False,207.0,False
-700,-675,17.75,36.0,-0.4563,0.6589,-0.1355,-1.3076,-0.7129,-0.2593,False,226.3,False
-700,-675,18.0,36.0,-0.4636,0.6696,-0.1492,-1.3178,-0.7145,-0.2515,False,245.2,False
-700,-675,18.25,36.0,-0.4583,0.6759,-0.1557,-1.2943,-0.6991,-0.2395,False,263.7,False
-700,-675,18.5,36.0,-0.4413,0.6748,-0.1561,-1.2405,-0.668,-0.2239,False,282.5,False
-700,-675,18.75,36.0,-0.4148,0.6621,-0.1517,-1.1613,-0.6236,-0.2051,False,301.5,False
-700,-675,19.0,36.0,-0.3812,0.6329,-0.1441,-1.0629,-0.5687,-0.1841,False,320.6,False
-700,-675,6.5,36.25,-0.4473,0.6285,-0.3904,-1.1833,-0.407,-0.1645,False,337.8,False
-700,-675,6.75,36.25,-0.5274,0.6749,-0.4595,-1.3951,-0.4811,-0.1941,False,327.9,False
-700,-675,7.0,36.25,-0.6094,0.705,-0.5298,-1.612,-0.558,-0.2244,False,318.8,False
-700,-675,7.25,36.25,-0.6886,0.7238,-0.5975,-1.8217,-0.6323,-0.254,False,310.7,False
-700,-675,7.5,36.25,-0.7598,0.7361,-0.6585,-2.0108,-0.6985,-0.2814,False,303.8,False
-700,-675,7.75,36.25,-0.8182,0.7454,-0.7088,-2.1666,-0.7515,-0.3052,False,298.1,False
-700,-675,8.0,36.25,-0.8596,0.7536,-0.7451,-2.2788,-0.7867,-0.324,False,293.8,False
-700,-675,8.25,36.25,-0.8815,0.7606,-0.7655,-2.3407,-0.8016,-0.3372,False,290.8,False
-700,-675,8.5,36.25,-0.8833,0.7651,-0.7694,-2.3506,-0.7954,-0.3446,False,289.3,False
-700,-675,8.75,36.25,-0.8662,0.7662,-0.7577,-2.312,-0.7697,-0.3466,False,289.2,False
-700,-675,9.0,36.25,-0.8337,0.7635,-0.7331,-2.2335,-0.7283,-0.3441,False,290.5,False
-700,-675,9.25,36.25,-0.7905,0.7577,-0.6995,-2.1277,-0.6764,-0.3387,False,292.3,False
-700,-675,9.5,36.25,-0.7428,0.7498,-0.6616,-2.0102,-0.6209,-0.3322,False,292.1,False
-700,-675,9.75,36.25,-0.697,0.7409,-0.6245,-1.8976,-0.5688,-0.3263,False,275.2,False
-700,-675,10.0,36.25,-0.6591,0.7313,-0.593,-1.8056,-0.5268,-0.3231,False,258.6,False
-700,-675,10.25,36.25,-0.6341,0.7204,-0.5709,-1.747,-0.5005,-0.3238,False,242.7,False
-700,-675,10.5,36.25,-0.6253,0.707,-0.5609,-1.7301,-0.4933,-0.3294,False,227.4,False
-700,-675,10.75,36.25,-0.6336,0.6897,-0.5636,-1.7579,-0.5066,-0.3402,False,213.0,False
-700,-675,11.0,36.25,-0.658,0.6679,-0.5781,-1.8269,-0.539,-0.3557,False,199.4,False
-700,-675,11.25,36.25,-0.6948,0.6421,-0.6014,-1.928,-0.5867,-0.3749,False,186.0,False
-700,-675,11.5,36.25,-0.7385,0.6137,-0.6291,-2.0471,-0.6438,-0.396,False,173.9,False
-700,-675,11.75,36.25,-0.7825,0.5846,-0.6559,-2.1667,-0.7028,-0.4169,False,163.5,False
-700,-675,12.0,36.25,-0.8193,0.5566,-0.6757,-2.2679,-0.7558,-0.4352,False,155.2,False
-700,-675,12.25,36.25,-0.842,0.5307,-0.6831,-2.3323,-0.795,-0.4489,False,149.0,False
-700,-675,12.5,36.25,-0.8446,0.5068,-0.6732,-2.3445,-0.8137,-0.4561,False,138.3,False
-700,-675,12.75,36.25,-0.8229,0.4839,-0.6428,-2.2938,-0.8075,-0.4553,False,127.9,False
-700,-675,13.0,36.25,-0.7751,0.461,-0.5905,-2.1756,-0.7742,-0.4461,False,117.0,False
-700,-675,13.25,36.25,-0.7022,0.4375,-0.5171,-1.9918,-0.7146,-0.4285,False,107.4,False
-700,-675,13.5,36.25,-0.6074,0.414,-0.4253,-1.7515,-0.6322,-0.4035,False,99.1,False
-700,-675,13.75,36.25,-0.4966,0.3916,-0.32,-1.4692,-0.5331,-0.3729,False,85.1,False
-700,-675,14.0,36.25,-0.3773,0.3719,-0.2072,-1.1643,-0.4253,-0.3387,False,71.9,True
-700,-675,14.25,36.25,-0.2579,0.3561,-0.0939,-0.8586,-0.3177,-0.3036,False,62.6,True
-700,-675,14.5,36.25,-0.1471,0.3451,0.0128,-0.5745,-0.2195,-0.27,False,54.2,True
-700,-675,14.75,36.25,-0.0528,0.3393,0.1061,-0.3325,-0.1391,-0.2404,False,50.4,True
-700,-675,15.0,36.25,0.0184,0.3396,0.1808,-0.1493,-0.0833,-0.2167,False,44.6,True
-700,-675,15.25,36.25,0.0622,0.3474,0.233,-0.0361,-0.0565,-0.2002,False,46.2,True
-700,-675,15.5,36.25,0.0766,0.3642,0.2607,0.0021,-0.0605,-0.1915,False,55.2,True
-700,-675,15.75,36.25,0.0624,0.3905,0.2643,-0.0331,-0.0944,-0.1905,False,68.5,True
-700,-675,16.0,36.25,0.0224,0.4248,0.2458,-0.1336,-0.1543,-0.1962,False,84.7,False
-700,-675,16.25,36.25,-0.038,0.4641,0.2089,-0.2863,-0.2345,-0.2073,False,102.2,False
-700,-675,16.5,36.25,-0.1125,0.5045,0.1587,-0.4742,-0.3275,-0.2217,False,120.6,False
-700,-675,16.75,36.25,-0.1937,0.5426,0.1005,-0.6785,-0.4252,-0.2374,False,139.7,False
-700,-675,17.0,36.25,-0.2744,0.5762,0.0399,-0.8805,-0.5194,-0.2523,False,159.1,False
-700,-675,17.25,36.25,-0.3479,0.6046,-0.018,-1.0632,-0.6028,-0.2645,False,177.9,False
-700,-675,17.5,36.25,-0.409,0.628,-0.0691,-1.2128,-0.6694,-0.2723,False,196.2,False
-700,-675,17.75,36.25,-0.454,0.6473,-0.1106,-1.3198,-0.7151,-0.2749,False,215.0,False
-700,-675,18.0,36.25,-0.4809,0.6625,-0.141,-1.3794,-0.7379,-0.2716,False,234.1,False
-700,-675,18.25,36.25,-0.4896,0.6724,-0.1602,-1.391,-0.7376,-0.2625,False,253.4,False
-700,-675,18.5,36.25,-0.4815,0.6738,-0.1692,-1.3584,-0.7158,-0.2481,False,272.5,False
-700,-675,18.75,36.25,-0.459,0.6626,-0.1697,-1.288,-0.6754,-0.2291,False,287.9,False
-700,-675,19.0,36.25,-0.4252,0.6341,-0.1641,-1.1878,-0.62,-0.2065,False,303.8,False
-700,-675,6.5,36.5,-0.502,0.6312,-0.4435,-1.3274,-0.441,-0.1829,False,313.5,False
-700,-675,6.75,36.5,-0.6031,0.6775,-0.5308,-1.5942,-0.5345,-0.2192,False,303.8,False
-700,-675,7.0,36.5,-0.7082,0.7072,-0.6206,-1.8712,-0.633,-0.2568,False,293.9,False
-700,-675,7.25,36.5,-0.8106,0.7253,-0.7079,-2.1415,-0.7297,-0.2938,False,285.1,False
-700,-675,7.5,36.5,-0.9034,0.7367,-0.7868,-2.3868,-0.8169,-0.3281,False,277.6,False
-700,-675,7.75,36.5,-0.9795,0.7452,-0.8519,-2.5892,-0.887,-0.3576,False,271.4,False
-700,-675,8.0,36.5,-1.0332,0.7525,-0.8984,-2.7336,-0.9339,-0.3806,False,266.6,False
-700,-675,8.25,36.5,-1.0603,0.7588,-0.9232,-2.8097,-0.9531,-0.3958,False,263.4,False
-700,-675,8.5,36.5,-1.0595,0.7628,-0.925,-2.8136,-0.9432,-0.403,False,261.7,False
-700,-675,8.75,36.5,-1.0318,0.7634,-0.9046,-2.7481,-0.9055,-0.4023,False,261.6,False
-700,-675,9.0,36.5,-0.9811,0.7603,-0.8652,-2.6233,-0.8441,-0.395,False,263.1,False
-700,-675,9.25,36.5,-0.9134,0.7538,-0.8114,-2.4547,-0.7659,-0.3828,False,264.8,False
-700,-675,9.5,36.5,-0.8365,0.745,-0.7495,-2.2624,-0.6792,-0.3682,False,268.1,False
-700,-675,9.75,36.5,-0.7588,0.7349,-0.686,-2.0682,-0.5934,-0.3535,False,260.0,False
-700,-675,10.0,36.5,-0.6886,0.7237,-0.6277,-1.8936,-0.5175,-0.3413,False,242.6,False
-700,-675,10.25,36.5,-0.633,0.7108,-0.5801,-1.7568,-0.4594,-0.3337,False,225.7,False
-700,-675,10.5,36.5,-0.5971,0.695,-0.5471,-1.6708,-0.4246,-0.3321,False,209.3,False
-700,-675,10.75,36.5,-0.5833,0.6751,-0.5306,-1.6419,-0.4157,-0.3371,False,193.6,False
-700,-675,11.0,36.5,-0.591,0.6503,-0.5302,-1.6686,-0.4321,-0.3487,False,178.8,False
-700,-675,11.25,36.5,-0.6167,0.6211,-0.543,-1.7419,-0.4701,-0.3655,False,165.2,False
-700,-675,11.5,36.5,-0.6544,0.5889,-0.5641,-1.8462,-0.5229,-0.3858,False,151.6,False
-700,-675,11.75,36.5,-0.6961,0.5559,-0.5873,-1.9608,-0.5819,-0.407,False,139.5,False
-700,-675,12.0,36.5,-0.7331,0.5239,-0.6054,-2.063,-0.6374,-0.4264,False,129.7,False
-700,-675,12.25,36.5,-0.7565,0.4943,-0.6115,-2.13,-0.6796,-0.4413,False,122.3,False
-700,-675,12.5,36.5,-0.7586,0.4672,-0.5995,-2.1418,-0.7002,-0.4493,False,116.4,False
-700,-675,12.75,36.5,-0.7339,0.4418,-0.5648,-2.0839,-0.6928,-0.4485,False,103.9,False
-700,-675,13.0,36.5,-0.6794,0.417,-0.5054,-1.9489,-0.6541,-0.4381,False,93.5,False
-700,-675,13.25,36.5,-0.5955,0.3921,-0.4215,-1.7375,-0.5844,-0.418,False,82.8,False
-700,-675,13.5,36.5,-0.4856,0.3673,-0.3161,-1.4586,-0.4872,-0.3893,False,73.5,True
-700,-675,13.75,36.5,-0.3562,0.3438,-0.1943,-1.1287,-0.3693,-0.3536,False,66.6,True
-700,-675,14.0,36.5,-0.216,0.3231,-0.0634,-0.7703,-0.24,-0.3137,False,51.2,True
-700,-675,14.25,36.5,-0.0751,0.3064,0.0684,-0.4094,-0.11,-0.2724,False,37.5,True
-700,-675,14.5,36.5,0.0561,0.2947,0.1925,-0.073,0.0094,-0.233,False,28.9,True
-700,-675,14.75,36.5,0.1676,0.2884,0.3007,0.2134,0.1078,-0.1983,False,22.8,True
-700,-675,15.0,36.5,0.2513,0.2887,0.3863,0.4286,0.1766,-0.1708,False,17.7,True
-700,-675,15.25,36.5,0.3013,0.2971,0.4442,0.5579,0.2096,-0.1523,False,20.9,True
-700,-675,15.5,36.5,0.3148,0.3153,0.4719,0.5938,0.2042,-0.1436,False,35.2,True
-700,-675,15.75,36.5,0.2922,0.3437,0.4693,0.537,0.1609,-0.1447,False,53.2,True
-700,-675,16.0,36.5,0.2365,0.3806,0.4386,0.3962,0.0836,-0.1546,False,72.5,True
-700,-675,16.25,36.5,0.1539,0.4229,0.3842,0.1866,-0.021,-0.1716,False,92.3,False
-700,-675,16.5,36.5,0.0519,0.4664,0.312,-0.0718,-0.1441,-0.1935,False,110.6,False
