hoard_id,label,longitude,latitude,closing_year,bin_start_year,bin_end_year,weight
GOT,Gottolengo (Italy; GOT),10.26855,45.29278,-49.0,-50,-25,0.64
ALI,Alife (Italy; ALI),14.33403,41.32612,-87.0,-100,-75,0.88
ALI,Alife (Italy; ALI),14.33403,41.32612,-87.0,-75,-50,0.12
ALL,Allein (Italy; ALL),7.27262,45.80723,-27.0,-50,-25,0.48
ALL,Allein (Italy; ALL),7.27262,45.80723,-27.0,-25,0,0.52
GRA,Grazzanise (Italy; GRA),14.08194,41.06083,-54.0,-75,-50,0.56
GRA,Grazzanise (Italy; GRA),14.08194,41.06083,-54.0,-50,-25,0.44
GRE,San Gregorio di Sassola (Italy; GRE),12.87447,41.91881,-58.0,-75,-50,0.72
GRE,San Gregorio di Sassola (Italy; GRE),12.87447,41.91881,-58.0,-50,-25,0.28
RAN,Randazzo (Sicily; RAN),14.95012,37.87736,-77.0,-100,-75,0.48
RAN,Randazzo (Sicily; RAN),14.95012,37.87736,-77.0,-75,-50,0.52
ALV,Alvignano (Italy; ALV),14.33671,41.24427,-40.0,-50,-25,1.0
RCN,Ricina (Italy; RCN),13.42649,43.32149,-101.0,-125,-100,0.44
RCN,Ricina (Italy; RCN),13.42649,43.32149,-101.0,-100,-75,0.56
AMA,Amaseno (Italy; AMA),13.33457,41.46705,-79.0,-100,-75,0.56
AMA,Amaseno (Italy; AMA),13.33457,41.46705,-79.0,-75,-50,0.44
RIC,Riccia (Italy; RIC),14.83181,41.48314,-126.0,-150,-125,0.44
RIC,Riccia (Italy; RIC),14.83181,41.48314,-126.0,-125,-100,0.56
AME,Lacco Ameno (Italy; AME),13.88718,40.74901,-144.0,-175,-150,0.16
AME,Lacco Ameno (Italy; AME),13.88718,40.74901,-144.0,-150,-125,0.84
RIG,Rignano (Italy; RIG),12.48068,42.2055,-74.0,-100,-75,0.36
RIG,Rignano (Italy; RIG),12.48068,42.2055,-74.0,-75,-50,0.64
AN1,Ancona (Italy; AN1),13.50337,43.5942,-55.0,-75,-50,0.6
AN1,Ancona (Italy; AN1),13.50337,43.5942,-55.0,-50,-25,0.4
AN2,Ancona (Italy; AN2),13.50337,43.5942,-90.0,-100,-75,1.0
ANA,Santa Anna (Italy; ANA),10.48333,43.83333,-42.0,-75,-50,0.08
ANA,Santa Anna (Italy; ANA),10.48333,43.83333,-42.0,-50,-25,0.92
ROG,Roginenza (Sicily; ROG),14.84731,37.47169,-136.0,-150,-125,0.84
ROG,Roginenza (Sicily; ROG),14.84731,37.47169,-136.0,-125,-100,0.16
ROM,Rome (Italy; ROM),12.51133,41.89193,-147.0,-175,-150,0.28
ROM,Rome (Italy; ROM),12.51133,41.89193,-147.0,-150,-125,0.72
RON,Roncolon (Italy; RON),13.3954,45.78524,-61.0,-75,-50,0.84
RON,Roncolon (Italy; RON),13.3954,45.78524,-61.0,-50,-25,0.16
ATO,Altino (Italy; ATO),14.33267,42.09954,-42.0,-75,-50,0.08
ATO,Altino (Italy; ATO),14.33267,42.09954,-42.0,-50,-25,0.92
RSN,Rossano (Italy; RSN),16.63447,39.57622,-42.0,-75,-50,0.08
RSN,Rossano (Italy; RSN),16.63447,39.57622,-42.0,-50,-25,0.92
AVE,Avetrana (Italy; AVE),17.7326,40.3507,-38.0,-50,-25,0.92
AVE,Avetrana (Italy; AVE),17.7326,40.3507,-38.0,-25,0,0.08
AVV,Avvocata (Italy; AVV),14.6729,40.65458,-104.0,-125,-100,0.56
AVV,Avvocata (Italy; AVV),14.6729,40.65458,-104.0,-100,-75,0.44
RUT,Rutigliano (Italy; RUT),17.00558,41.00997,-58.0,-75,-50,0.72
RUT,Rutigliano (Italy; RUT),17.00558,41.00997,-58.0,-50,-25,0.28
AVZ,Avezzano (Italy; AVZ),13.42641,42.02896,-87.0,-100,-75,0.88
AVZ,Avezzano (Italy; AVZ),13.42641,42.02896,-87.0,-75,-50,0.12
IMO,Imola (Italy; IMO),11.7132,44.35916,-100.0,-125,-100,0.4
IMO,Imola (Italy; IMO),11.7132,44.35916,-100.0,-100,-75,0.6
S01,West Sicily (Sicily; S01),13.93457,37.62304,-146.0,-175,-150,0.24
S01,West Sicily (Sicily; S01),13.93457,37.62304,-146.0,-150,-125,0.76
INF,Montoro Inferiore (Italy; INF),14.77465,40.81292,-147.0,-175,-150,0.28
INF,Montoro Inferiore (Italy; INF),14.77465,40.81292,-147.0,-150,-125,0.72
