wreck_id,sitename,locname,longitude,latitude,wreckage_after,wreckage_before,bin_start_year,bin_end_year,weight
oxrep_loc_1082,Pisa,Pisa G,10.38813,43.72388,-150.0,400.0,-25,0,0.045455
oxrep_loc_1083,Ponza,Ponza C,12.97,40.88,-100.0,-1.0,-100,-75,0.252525
oxrep_loc_1083,Ponza,Ponza C,12.97,40.88,-100.0,-1.0,-75,-50,0.252525
oxrep_loc_1083,Ponza,Ponza C,12.97,40.88,-100.0,-1.0,-50,-25,0.252525
oxrep_loc_1083,Ponza,Ponza C,12.97,40.88,-100.0,-1.0,-25,0,0.242424
oxrep_loc_1216,Ischia,Ischia,13.96164,40.72571,-300.0,300.0,-300,-275,0.041667
oxrep_loc_1216,Ischia,Ischia,13.96164,40.72571,-300.0,300.0,-275,-250,0.041667
oxrep_loc_1216,Ischia,Ischia,13.96164,40.72571,-300.0,300.0,-250,-225,0.041667
oxrep_loc_1216,Ischia,Ischia,13.96164,40.72571,-300.0,300.0,-225,-200,0.041667
oxrep_loc_1216,Ischia,Ischia,13.96164,40.72571,-300.0,300.0,-200,-175,0.041667
oxrep_loc_1216,Ischia,Ischia,13.96164,40.72571,-300.0,300.0,-175,-150,0.041667
oxrep_loc_1216,Ischia,Ischia,13.96164,40.72571,-300.0,300.0,-150,-125,0.041667
oxrep_loc_1216,Ischia,Ischia,13.96164,40.72571,-300.0,300.0,-125,-100,0.041667
oxrep_loc_1216,Ischia,Ischia,13.96164,40.72571,-300.0,300.0,-100,-75,0.041667
oxrep_loc_1216,Ischia,Ischia,13.96164,40.72571,-300.0,300.0,-75,-50,0.041667
oxrep_loc_1216,Ischia,Ischia,13.96164,40.72571,-300.0,300.0,-50,-25,0.041667
oxrep_loc_1216,Ischia,Ischia,13.96164,40.72571,-300.0,300.0,-25,0,0.041667
oxrep_loc_1250,Capraia,Capraia Etruscan 2004,9.82366,43.07225,-600.0,-300.0,-600,-575,0.083333
oxrep_loc_1250,Capraia,Capraia Etruscan 2004,9.82366,43.07225,-600.0,-300.0,-575,-550,0.083333
oxrep_loc_1250,Capraia,Capraia Etruscan 2004,9.82366,43.07225,-600.0,-300.0,-550,-525,0.083333
oxrep_loc_1250,Capraia,Capraia Etruscan 2004,9.82366,43.07225,-600.0,-300.0,-525,-500,0.083333
oxrep_loc_1250,Capraia,Capraia Etruscan 2004,9.82366,43.07225,-600.0,-300.0,-500,-475,0.083333
oxrep_loc_1250,Capraia,Capraia Etruscan 2004,9.82366,43.07225,-600.0,-300.0,-475,-450,0.083333
oxrep_loc_1250,Capraia,Capraia Etruscan 2004,9.82366,43.07225,-600.0,-300.0,-450,-425,0.083333
oxrep_loc_1250,Capraia,Capraia Etruscan 2004,9.82366,43.07225,-600.0,-300.0,-425,-400,0.083333
oxrep_loc_1250,Capraia,Capraia Etruscan 2004,9.82366,43.07225,-600.0,-300.0,-400,-375,0.083333
oxrep_loc_1250,Capraia,Capraia Etruscan 2004,9.82366,43.07225,-600.0,-300.0,-375,-350,0.083333
oxrep_loc_1250,Capraia,Capraia Etruscan 2004,9.82366,43.07225,-600.0,-300.0,-350,-325,0.083333
oxrep_loc_1250,Capraia,Capraia Etruscan 2004,9.82366,43.07225,-600.0,-300.0,-325,-300,0.083333
oxrep_loc_1291,Albenga,Albenga,8.22876,44.04255,-100.0,-80.0,-100,-75,1.0
oxrep_loc_1528,Agropoli,Agropoli,14.966666666666669,40.333333333333336,-150.0,400.0,-150,-125,0.045455
oxrep_loc_1528,Agropoli,Agropoli,14.966666666666669,40.333333333333336,-150.0,400.0,-125,-100,0.045455
oxrep_loc_1528,Agropoli,Agropoli,14.966666666666669,40.333333333333336,-150.0,400.0,-100,-75,0.045455
oxrep_loc_1528,Agropoli,Agropoli,14.966666666666669,40.333333333333336,-150.0,400.0,-75,-50,0.045455
oxrep_loc_1528,Agropoli,Agropoli,14.966666666666669,40.333333333333336,-150.0,400.0,-50,-25,0.045455
oxrep_loc_1528,Agropoli,Agropoli,14.966666666666669,40.333333333333336,-150.0,400.0,-25,0,0.045455
oxrep_loc_1662,Porto Ercole,Porto Ercole A,11.2,42.38333333333333,-150.0,-100.0,-150,-125,0.5
oxrep_loc_1662,Porto Ercole,Porto Ercole A,11.2,42.38333333333333,-150.0,-100.0,-125,-100,0.5
oxrep_loc_1665,Secca Del Bagno,Secca Del Bagno,14.883333333333333,38.46666666666667,-200.0,-180.0,-200,-175,1.0
oxrep_loc_1717,Pisa,Pisa E,10.38813,43.72388,-30.0,-1.0,-50,-25,0.172414
oxrep_loc_1717,Pisa,Pisa E,10.38813,43.72388,-30.0,-1.0,-25,0,0.827586
oxrep_loc_1932,Barbarossa,Barbarossa,10.4,42.75,-250.0,-150.0,-250,-225,0.25
oxrep_loc_1932,Barbarossa,Barbarossa,10.4,42.75,-250.0,-150.0,-225,-200,0.25
oxrep_loc_1932,Barbarossa,Barbarossa,10.4,42.75,-250.0,-150.0,-200,-175,0.25
oxrep_loc_1932,Barbarossa,Barbarossa,10.4,42.75,-250.0,-150.0,-175,-150,0.25
oxrep_loc_1982,Albenga,Albenga II,8.22876,44.04255,-100.0,-1.0,-100,-75,0.252525
oxrep_loc_1982,Albenga,Albenga II,8.22876,44.04255,-100.0,-1.0,-75,-50,0.252525
oxrep_loc_1982,Albenga,Albenga II,8.22876,44.04255,-100.0,-1.0,-50,-25,0.252525
oxrep_loc_1982,Albenga,Albenga II,8.22876,44.04255,-100.0,-1.0,-25,0,0.242424
oxrep_loc_2099,Olbia (Sardinia),Olbia B,9.50738,40.91148,-400.0,-100.0,-400,-375,0.083333
oxrep_loc_2099,Olbia (Sardinia),Olbia B,9.50738,40.91148,-400.0,-100.0,-375,-350,0.083333
oxrep_loc_2099,Olbia (Sardinia),Olbia B,9.50738,40.91148,-400.0,-100.0,-350,-325,0.083333
oxrep_loc_2099,Olbia (Sardinia),Olbia B,9.50738,40.91148,-400.0,-100.0,-325,-300,0.083333
oxrep_loc_2099,Olbia (Sardinia),Olbia B,9.50738,40.91148,-400.0,-100.0,-300,-275,0.083333
