stamp_id,site,province_label,longitude,latitude,amphora_type,stamp_code,chronology_in_default_model,range_start_year,range_end_year
34522,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,ANDRONICI,1,-125,-25
35974,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,CNPETROSOSTR,1,-125,-25
34622,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLLONID,1,-125,-25
4820,Barletta,Italia,16.283333,41.316667,Lamboglia 2,BALI,1,-125,-25
38206,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,VEHILI,1,-125,-25
37552,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
36182,Ancona,Italia,13.5,43.633333,Lamboglia 2,PHALLPHALL,1,-125,-25
35872,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,PROTAGATHVS,1,-125,-25
34834,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLONI,1,-125,-25
36738,Padova,Italia,11.883333,45.416667,Dressel 6B,PRI,1,-50,-1
33258,Martigny,Italia,7.076771,46.104593,Dressel 20,PIRP,0,,
40827,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,SOTERICSOTERIX,1,-125,-25
33746,Coriano,Italia,12.6,43.966667,Amphora incerta,SAEMSMF,0,,
19201,Isola di Giannutri,Italia,11.1,42.25,Africana 1A pic.,CSA,0,,
34198,Bologna,Italia,11.333333,44.483333,Amphora incerta,COSTINI,0,,
26171,Porto Torres,Corsica et Sardinia,8.397222,40.835,Africana 2D Grande,ANLEP,0,,
35532,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,SCOPAS,1,-125,-25
35050,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,DEMETRI,1,-125,-25
10534,Altino,Italia,12.393333,45.544444,Lamboglia 2,VERSO,1,-125,-25
37833,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,ACAESELIAFQ,1,-125,-25
38418,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,APELLES,1,-125,-25
35727,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
34973,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,ARCHELAVS,1,-125,-25
10585,Altino,Italia,12.393333,45.544444,Amphora incerta,PMP,0,,
26169,Porto Torres,Corsica et Sardinia,8.397222,40.835,Africana 2D Grande,PAVLFH,0,,
38027,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,CVEHILI,1,-125,-25
34562,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APELLAE,1,-125,-25
34224,Modena,Italia,10.9,44.5,Amphora incerta,MHEPICEN,0,,
10599,Este,Italia,11.65,45.233333,Dressel 6B,APPVLCRI,1,-50,-1
35545,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,SCOPAS,1,-125,-25
33875,Albinia,Italia,11.25,42.5,Dressel 1C,DAS,1,-150,-1
27222,Massa d'Albe,Italia,13.383333,42.1,Almagro 50,LEVGEN,0,,
20351,Ostia Antica,Italia,12.283333,41.75,Dressel 20,AELIFVSCIANI,0,,
32780,Padova,Italia,11.883333,45.416667,Dressel 6B,CAEKANI,1,-50,-1
28378,Ostia Antica,Italia,12.283333,41.75,Dressel 20,QIC,0,,
37014,Vicenza,Italia,11.45,45.666667,Amphora incerta,AEBLIDIENI,0,,
16176,Este,Italia,11.65,45.233333,Dressel 6B,PSEPVLLI,1,-50,-1
38376,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,VHEILI,1,-125,-25
10542,Altino,Italia,12.393333,45.544444,Dressel 6B,ACCI,1,-50,-1
34709,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,APOLONIDA,1,-125,-25
34512,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,AENEAS,1,-125,-25
40295,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,EVTVCHI,1,-125,-25
32888,Padova,Italia,11.883333,45.416667,Dressel 6B,ACCI,1,-50,-1
40701,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,PHILONICAPPVLEI,1,-125,-25
40932,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,ANINIANA,1,-125,-25
33017,Padova,Italia,11.883333,45.416667,Dressel 6B,CRISPINILLI,1,-50,-1
27077,Ascoli Satriano,Italia,15.566667,41.2,Lamboglia 2,HPAIOC,1,-125,-25
26326,Ostia Antica,Italia,12.283333,41.75,Africana 2D Grande,TEPSVRI,0,,
37951,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,QOBVLTRON,1,-125,-25
10516,Altino,Italia,12.393333,45.544444,Dressel ante 6B,NTK,0,,
34173,Modena,Italia,10.9,44.5,Amphora incerta,APICI,0,,
32295,Padova,Italia,11.883333,45.416667,Dressel 6B,CLAECS,1,-50,-1
4751,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,AENEABETIL,1,-125,-25
25482,Capalbio,Italia,11.416667,42.45,Dressel 2-4 Catalan,PTPL,1,-30,-1
33862,Albinia,Italia,11.25,42.5,Dressel 1C,DAS,1,-150,-1
34999,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,DAMATRI,1,-125,-25
40125,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,DAMA,1,-125,-25
18561,Île Cavallo,Corsica et Sardinia,9.262903,41.368374,Dressel 2-4 Catalan,PTE,1,-30,-1
29400,Ostia Antica,Italia,12.283333,41.75,Dressel 20,XIIIIHP,0,,
40818,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,SOTERICSOTERIX,1,-125,-25
28171,Ostia Antica,Italia,12.283333,41.75,Dressel 20,POPVLI,0,,
40005,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,BAHANO,1,-125,-25
37489,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
35326,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,LVKAON,1,-125,-25
37453,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,VISELLI,1,-125,-25
35871,Canale Giancola,Italia,17.85,40.683333,Brindisian amphora,PROTAGATHVS,1,-125,-25
37759,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,LANINIVS,1,-125,-25
40587,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,NOYMHNIO,1,-125,-25
26253,Ostia Antica,Italia,12.283333,41.75,Africana 2D Grande,TOPHLV,0,,
39241,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,APOLONI,1,-125,-25
40515,Brindisi,Italia,17.933333,40.633333,Brindisian amphora,MENOPILVS,1,-125,-25
