loc_id,site_id,country,sea_area,sitename,locname,depth_m,wreckage_after,wreckage_before,dated,in_window,latitude,longitude,coord_source,has_coords
582,550,Italy,West Mediterranean Sea,Gallipoli,Gallipoli 2,0.0,-300.0,-200.0,True,True,39.97683,18.07388,oxrep_popup,True
699,797,Italy,West Mediterranean Sea,Lampedusa,Lampedusa A,,300.0,350.0,True,False,,,,False
700,1723,Italy,West Mediterranean Sea,Marsala,Marsala (Punic Ship),,-250.0,-175.0,True,True,37.74462,12.4669,oxrep_popup,True
739,1662,Italy,West Mediterranean Sea,Taranto,Taranto C,,1.0,100.0,True,False,,,,False
766,358,Italy,West Mediterranean Sea,Isola delle Correnti,Isola delle Correnti,-9.0,200.0,400.0,True,False,,,,False
1035,550,Italy,West Mediterranean Sea,Gallipoli,Gallipoli 3,0.0,-300.0,-200.0,True,True,39.97683,18.07388,oxrep_popup,True
1039,1662,Italy,West Mediterranean Sea,Taranto,Taranto A,,400.0,650.0,True,False,,,,False
1044,933,Italy,West Mediterranean Sea,Torre Sgarrata,Torre Sgarrata,-11.0,180.0,205.0,True,False,,,,False
1084,1585,Italy,West Mediterranean Sea,Pantelleria,Pantelleria,,,,False,False,,,,False
1305,1849,Italy,West Mediterranean Sea,Punta del Serrone,Punta del Serrone,-16.0,250.0,300.0,True,False,,,,False
1327,988,Italy,West Mediterranean Sea,Sicilian Channel,Sicilian Channel,,-425.0,-375.0,True,True,,,,False
1364,1847,Italy,West Mediterranean Sea,Gela,Gela B,0.0,-475.0,-425.0,True,True,37.04304,14.26666,oxrep_popup,True
1394,1005,Italy,West Mediterranean Sea,Capo Cimiti,Capo Cimiti,-8.0,-150.0,400.0,True,True,38.95,17.166666666666668,v01_geocoded,True
1476,1225,Italy,West Mediterranean Sea,Giardini Naxos,Giardini Naxos,-24.0,200.0,300.0,True,False,,,,False
1595,1710,Italy,West Mediterranean Sea,Tremiti Islands,Tremiti Islands (?),-21.0,-100.0,100.0,True,True,,,,False
1658,1256,Italy,West Mediterranean Sea,Siracusa,Siracusa D,,-150.0,400.0,True,True,37.07,15.3,oxrep_popup,True
1684,1061,Italy,West Mediterranean Sea,Riace,Riace,,1.0,100.0,True,False,,,,False
1695,836,Italy,West Mediterranean Sea,Capo Taormina,Capo Taormina,-28.0,1.0,400.0,True,False,,,,False
1712,774,Italy,West Mediterranean Sea,Stentinello,Stentinello,,-300.0,-280.0,True,True,37.11666666666667,15.25,v01_geocoded,True
1740,1079,Italy,West Mediterranean Sea,Mercury,Mercury,,75.0,200.0,True,False,,,,False
1784,1662,Italy,West Mediterranean Sea,Taranto,Taranto B,,-300.0,-150.0,True,True,40.47,17.25,oxrep_popup,True
1794,1256,Italy,West Mediterranean Sea,Siracusa,Siracusa A,,-450.0,-430.0,True,True,37.07,15.3,oxrep_popup,True
1833,550,Italy,West Mediterranean Sea,Gallipoli,Gallipoli 1,0.0,1.0,400.0,True,False,,,,False
1941,1723,Italy,West Mediterranean Sea,Marsala,Marsala A,-2.0,1150.0,1200.0,False,False,,,,False
1962,1847,Italy,West Mediterranean Sea,Gela,Gela A,-5.0,-525.0,-475.0,True,True,37.04304,14.26666,oxrep_popup,True
1974,1723,Italy,West Mediterranean Sea,Marsala,Marsala (Sister Ship),,-300.0,-200.0,True,True,37.74462,12.4669,oxrep_popup,True
1994,1256,Italy,West Mediterranean Sea,Siracusa,Siracusa B,,400.0,700.0,True,False,,,,False
2114,1256,Italy,West Mediterranean Sea,Siracusa,Siracusa C,,400.0,700.0,True,False,,,,False
2207,931,Italy,West Mediterranean Sea,Mazara del vallo,Mazara del vallo,-500.0,-300.0,-100.0,True,True,,,,False
2231,550,Italy,West Mediterranean Sea,Gallipoli,Gallipoli (BA),-40.0,-150.0,400.0,True,True,39.97683,18.07388,oxrep_popup,True
2355,887,Italy,West Mediterranean Sea,Vulpiglia,Vulpiglia,-7.0,-300.0,-290.0,True,True,36.7,15.133333333333333,v01_geocoded,True
2503,1723,Italy,West Mediterranean Sea,Marsala,Marsala C,,1000.0,1500.0,False,False,,,,False
2551,797,Italy,West Mediterranean Sea,Lampedusa,Lampedusa B,,-125.0,-75.0,True,True,35.483333333333334,12.6,v01_geocoded,True
2567,295,Italy,West Mediterranean Sea,Savelletri,Savelletri,-5.0,-280.0,-250.0,True,True,40.86666666666667,17.4,v01_geocoded,True
2640,1723,Italy,West Mediterranean Sea,Marsala,Marsala B,,1150.0,1200.0,False,False,,,,False
2666,1664,Italy,West Mediterranean Sea,Valle Ponti,Valle Ponti,,-25.0,-1.0,True,True,44.66666666666666,12.166666666666666,v01_geocoded,True
527,1651,Italy,,Montecristo,Montecristo F,-60.0,100.0,300.0,True,False,,,,False
536,1941,Italy,,Secche Di Ugento,Secche Di Ugento A,,-50.0,100.0,True,True,39.81666666666667,18.15,v01_geocoded,True
544,468,Italy,,Secche della Circe,Secche della Circe,0.0,400.0,499.0,True,False,,,,False
545,1867,Italy,,Lago di Nemi,Nemi A,,35.0,50.0,True,False,,,,False
555,1721,Italy,,Cantafora,Cantafora B,0.0,200.0,225.0,True,False,,,,False
566,1812,Italy,,Golfo di Porto Azzurro,Golfo di Porto Azzurro,-20.0,1.0,400.0,True,False,,,,False
567,1470,Italy,,Punta Tonnara,Punta Tonnara,-23.0,1000.0,1500.0,False,False,,,,False
583,403,Italy,,Preveto,Preveto,,1000.0,1100.0,False,False,,,,False
585,741,Italy,,Torre Melissa - Villaggio Sirio,Torre Melissa - Villaggio Sirio,0.0,-125.0,0.0,True,True,39.30421,17.11326,oxrep_popup,True
586,1359,Italy,,Sa Tonnara,Sa Tonnara A,-6.0,-200.0,-150.0,True,True,40.05386,8.40351,oxrep_popup,True
587,1831,Italy,,La Tonnara,La Tonnara,0.0,-100.0,50.0,True,True,,,,False
590,424,Italy,,Marzamemi,Marzamemi A,-7.0,200.0,250.0,True,False,,,,False
605,1477,Italy,,Capo Colonna,Capo Colonna and Capo Alfieri,0.0,300.0,500.0,True,False,,,,False
