bin_start_year,bin_end_year,site,longitude,latitude,amphora_type,stamp_count,log1p_stamp_count,temporal_probability,weighted_evidence
-25,0,Cosa,12.896389,46.057778,Dressel 1A,25,3.258096538021482,0.16666666666666666,0.543016089670247
-150,-125,Cosa,12.896389,46.057778,Dressel 1B,10,2.3978952727983707,0.16666666666666666,0.39964921213306176
-125,-100,Cosa,12.896389,46.057778,Dressel 1B,10,2.3978952727983707,0.16666666666666666,0.39964921213306176
-100,-75,Cosa,12.896389,46.057778,Dressel 1B,10,2.3978952727983707,0.16666666666666666,0.39964921213306176
-75,-50,Cosa,12.896389,46.057778,Dressel 1B,10,2.3978952727983707,0.16666666666666666,0.39964921213306176
-50,-25,Cosa,12.896389,46.057778,Dressel 1B,10,2.3978952727983707,0.16666666666666666,0.39964921213306176
-25,0,Cosa,12.896389,46.057778,Dressel 1B,10,2.3978952727983707,0.16666666666666666,0.39964921213306176
-150,-125,Cosa,12.896389,46.057778,Dressel 1C,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-125,-100,Cosa,12.896389,46.057778,Dressel 1C,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-100,-75,Cosa,12.896389,46.057778,Dressel 1C,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-75,-50,Cosa,12.896389,46.057778,Dressel 1C,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-50,-25,Cosa,12.896389,46.057778,Dressel 1C,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-25,0,Cosa,12.896389,46.057778,Dressel 1C,1,0.6931471805599453,0.16666666666666666,0.11552453009332421
-125,-100,Cremona,10.033333,45.116667,Brindisian amphora,5,1.791759469228055,0.25,0.44793986730701374
-100,-75,Cremona,10.033333,45.116667,Brindisian amphora,5,1.791759469228055,0.25,0.44793986730701374
-75,-50,Cremona,10.033333,45.116667,Brindisian amphora,5,1.791759469228055,0.25,0.44793986730701374
-50,-25,Cremona,10.033333,45.116667,Brindisian amphora,5,1.791759469228055,0.25,0.44793986730701374
-25,0,Cremona,10.033333,45.116667,Dressel 2-4,3,1.3862943611198906,1.0,1.3862943611198906
-125,-100,Cremona,10.033333,45.116667,Lamboglia 2,31,3.4657359027997265,0.25,0.8664339756999316
-100,-75,Cremona,10.033333,45.116667,Lamboglia 2,31,3.4657359027997265,0.25,0.8664339756999316
-75,-50,Cremona,10.033333,45.116667,Lamboglia 2,31,3.4657359027997265,0.25,0.8664339756999316
-50,-25,Cremona,10.033333,45.116667,Lamboglia 2,31,3.4657359027997265,0.25,0.8664339756999316
-125,-100,Domagnano,12.466667,43.95,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
-100,-75,Domagnano,12.466667,43.95,Lamboglia 2,1,0.6931471805599453,0.25,0.17328679513998632
