pleiades_id,title,longitude,latitude,location_precision,feature_types,time_periods,sources,in_window_bins
157867,Heraclia Caccabaria,6.53009,43.173059,precise,station,roman,pleiades_transport,0.102
157868,Herakles Monoikos/Portus Monoeci,7.425673,43.740339,precise,settlement,"archaic,classical,hellenistic-republican,roman,late-antique",pleiades_settlement,25.75
157879,Lucus Bormani,8.08057,43.911292,precise,settlement,"roman,late-antique,twentieth-ce",pleiades_settlement,0.055
157880,Lumo,7.476725,43.7586,precise,station,roman,pleiades_transport,0.102
157882,Mandelieu,6.937314,43.543891,precise,villa,"roman,late-antique,twentieth-ce",pleiades_production,0.055
157886,Monte Bignone,7.73388934783,43.873496088,precise,"fortified-settlement, settlement","archaic,classical,twentieth-ce",pleiades_settlement,8.15
157887,Monte Colma,7.79613,43.857059,precise,settlement,"classical,modern,twentieth-ce",pleiades_settlement,2.933
157888,Montjean,6.516594,43.199971,precise,settlement,"archaic,classical",pleiades_settlement,8.15
157891,Navelis,7.28351,43.725031,precise,settlement,roman,pleiades_settlement,0.102
157894,Nicaea,7.266233,43.703436,precise,settlement,"archaic,classical,hellenistic-republican,roman,late-antique,sixteenth-ce",pleiades_settlement,25.75
157897,Olivula,7.310126,43.704222,precise,station,roman,pleiades_transport,0.102
157901,Unnamed villa,6.548428,43.188356,precise,villa,roman,pleiades_production,0.102
157902,Unnamed villa,6.5561987,43.19034235,precise,villa,"roman,late-antique",pleiades_production,0.055
157908,Portus Maurici,8.015133,43.873685,precise,"station, settlement-modern","roman,twenty-first-ce",pleiades_transport,0.102
157910,Pullopice,8.345138,44.169972,precise,station,"roman,late-antique",pleiades_transport,0.055
157915,Roussivau,6.845027,43.47388,precise,villa,"roman,twentieth-ce",pleiades_production,0.102
861510570,Roman villa of Aia Nova,11.347410934,42.6515954437,precise,villa,"hellenistic-republican,roman",pleiades_production,7.145
572329938,"Villa Prato, Sperlonga",13.4240302595,41.2719806543,precise,villa,roman,pleiades_production,0.102
922176737,Villa di Pipiano,14.4019849,40.6375616,precise,"fountain, villa",roman,pleiades_production,0.102
789450243,Orto della Regina,13.9441244538,41.2997457404,precise,settlement,"hellenistic-republican,modern",pleiades_settlement,4.0
851887955,Forcello,10.8350454496,45.1100542597,precise,settlement,"classical,modern",pleiades_settlement,2.933
315097,Numluli,9.21945770134,36.5234797735,precise,"settlement, archaeological-site","roman,late-antique,twentieth-ce",pleiades_settlement,0.055
774894386,Nuraghe S'Urachi,8.58279987189,40.0156080323,precise,"nuraghe, settlement, archaeological-site","2nd-millenium-bce,1st-millennium-bce,early-geometric,middle-geometric,archaic,classical,hellenistic-republican,roman,modern",pleiades_settlement,27.945
486975583,Fossa Traiana,12.2231012,41.7709232,precise,canal,modern,pleiades_transport,0.0
236993544,Roman villa at Verige Bay,13.7738700725,44.9098534541,precise,villa,roman,pleiades_production,0.102
124611682,Tremona,8.9595678,45.8846685,precise,"settlement, archaeological-site",late-antique,pleiades_settlement,0.0
100447491,Pons Neronianus,12.4641,41.901,precise,bridge,roman,pleiades_transport,0.102
321633,Absasallensis,7.5,37.5,rough,"unlocated, settlement",late-antique,pleiades_settlement,0.0
936919090,Roman castrum at Pyrgi,11.9586871865,42.0165681649,precise,settlement,"hellenistic-republican,roman",pleiades_settlement,7.145
653538433,Ganglegg,10.5904588686,46.6723028821,precise,settlement,"2nd-millenium-bce,archaic",pleiades_settlement,2.25
835247251,Nuraghe Bruncu Maduli o Bruncu Madugui ,8.997715,39.730975,precise,"nuraghe, settlement",2nd-millenium-bce,pleiades_settlement,0.0
330348886,Poggio Gramignano Roman Villa,12.3100066473,42.5501617536,precise,"cemetery, villa","roman-early-empire-late-antique,twenty-first-ce",pleiades_production,0.052
330348887,Villa Redenta,12.7412055,42.74468775,precise,villa,"roman,late-antique",pleiades_production,0.055
850888151,Linguella Roman villa,10.3303362692,42.8119294814,precise,villa,"roman,late-antique",pleiades_production,0.055
629429886,Ripatransone,13.7617959,42.9961784,precise,"settlement, settlement-modern",modern,pleiades_settlement,0.0
612970100,Villa of L. Crassius Tertius,14.4565198195,40.7562278109,precise,villa,roman,pleiades_production,0.102
773379957,"Cala Minnola, Levanzo, Province de Trapani",12.3513932,37.9932535,precise,production,"hellenistic-republican,roman",pleiades_production,7.145
383542,Acerrae (Cisalpine Gaul),9.790962,45.190014,precise,settlement,"hellenistic-republican,roman,late-antique,twentieth-ce",pleiades_settlement,7.2
383544,Ad Figlinas,8.8872,44.437188,precise,station,"roman,late-antique",pleiades_transport,0.055
383545,Ad Fines,7.4208953,45.0957849,precise,"station, settlement-modern","roman,late-antique,modern",pleiades_transport,0.055
383546,Ad Flexum/Sermione Mansio,10.6078237,45.4688494,precise,"station, settlement-modern","roman,late-antique,modern,twentieth-ce",pleiades_transport,0.055
383547,Ad Fonteclos,9.865474,44.956105,precise,station,"roman,late-antique",pleiades_transport,0.055
383548,Ad IX,9.322956,45.356918,precise,station,"roman,late-antique",pleiades_transport,0.055
383550,Ad Monilia,9.491255,44.238283,precise,station,"roman,late-antique",pleiades_transport,0.055
383551,Ad Navalia,8.643922,44.390314,precise,station,"roman,late-antique",pleiades_transport,0.055
383552,Ad Padum,9.5972,45.088302,precise,station,"roman,late-antique",pleiades_transport,0.055
383554,Ad Rota(s),9.57987,45.169874,precise,station,"roman,late-antique",pleiades_transport,0.055
383555,Ad Solaria,9.320172,44.317059,precise,station,late-antique,pleiades_transport,0.0
383556,Ad Tarum,10.211566,44.830006,precise,station,"roman,late-antique,twentieth-ce",pleiades_transport,0.055
383557,Ad VIII,7.5176764,45.0697151,precise,"station, settlement-modern","roman,late-antique,twenty-first-ce",pleiades_transport,0.055
383558,Ad X,7.828594,45.177939,precise,station,"roman,late-antique",pleiades_transport,0.055
383559,Ad X,9.1586709,45.3238086,precise,"station, settlement-modern","roman,late-antique,modern",pleiades_transport,0.055
383563,Alba Docilia,8.51176015004,44.3338309131,precise,"station, archaeological-site","roman,late-antique",pleiades_transport,0.055
383564,Alba Pompeia,8.035244,44.700835,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383570,Andes,10.824999,45.125167,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383572,Antion,9.555623,44.203883,precise,station,classical,pleiades_transport,2.933
383574,Aquae Statiellae,8.470658,44.675532,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383575,Argentea,9.405692,45.53071,precise,station,"roman,late-antique",pleiades_transport,0.055
383576,Ari(o)lica,10.692043,45.439424,precise,station,"roman,late-antique,twentieth-ce",pleiades_transport,0.055
383578,Augusta Bagiennorum,7.85034051918,44.5566760869,precise,settlement,"hellenistic-republican,roman,late-antique",pleiades_settlement,7.2
383579,Augusta Praetoria,7.3161705,45.737444,precise,settlement,"roman,late-antique,modern",pleiades_settlement,0.055
