hoard_id,label,findspot,geonames_uri,closing_year,n_coin_types,country,longitude,latitude,findspot_radius_km,dated
LIC,Licodia (Sicily; LIC),"Licodia, Sicily",https://sws.geonames.org/2524392/,-74.0,80,Sicily,14.70555,37.15674,5.0,True
SPN,Spoiano (Italy; SPN),"Spoiano, Italy",https://sws.geonames.org/8504682/,-46.0,130,Italy,11.76842,43.37055,5.0,True
SPO,Spoleto (Italy; SPO),"Spoleto, Italy",https://sws.geonames.org/3166236/,-79.0,51,Italy,12.73899,42.74071,5.0,True
BUR,Burgos (Italy; BUR),"Burgos, Italy",https://sws.geonames.org/3181398/,-195.0,4,Italy,8.99558,40.39081,5.0,True
SSA,Santo Stefano di Arcevia (Italy; SSA),"Santo Stefano di Arcevia, Italy",https://sws.geonames.org/8504681/,,0,Italy,12.9055,43.48425,5.0,False
BVG,Bevagna (Italy; BVG),"Bevagna, Italy",https://sws.geonames.org/3182096/,-100.0,94,Italy,12.61488,42.93748,5.0,True
SSR,Santo Stefano Roero (Italy; SSR),"Santo Stefano Roero, Italy",https://sws.geonames.org/6535487/,-18.0,62,Italy,7.94093,44.78844,5.0,True
SST,Sustinente (Italy; SST),"Sustinente, Italy",https://sws.geonames.org/3166011/,,0,Italy,11.02178,45.07096,5.0,False
CAD,Cadriano (Italy; CAD),"Cadriano, Italy",https://sws.geonames.org/3164148/,,0,Italy,11.40693,44.553,5.0,False
CAH,Italy (Italy; CAH),Italy,https://sws.geonames.org/3175395/,-87.0,45,Italy,12.83333,42.83333,20.0,True
CAI,Caiazzo (Italy; CAI),"Caiazzo, Italy",https://sws.geonames.org/3181267/,,0,Italy,14.35946,41.18435,5.0,False
LOR,San Lorenzo del Vallo (Italy; LOR),"San Lorenzo del Vallo, Italy",https://sws.geonames.org/2523438/,-102.0,109,Italy,16.29866,39.66739,5.0,True
CAL,Calvatone (Italy; CAL),"Calvatone, Italy",https://sws.geonames.org/3181156/,-40.0,6,Italy,10.44057,45.12697,5.0,True
LOS,Mornico Losana (Italy; LOS),"Mornico Losana, Italy",https://sws.geonames.org/6534538/,-38.0,273,Italy,9.20616,45.01016,5.0,True
LTA,"Largo di Torre Argentina, Rome (Italy; LTA)","Largo di Torre Argentina, Rome, Italy",https://sws.geonames.org/8504670/,-97.0,18,Italy,12.47655,41.89605,5.0,True
LUC,Luceria (Italy; LUC),"Luceria, Italy",https://sws.geonames.org/3174526/,,0,Italy,15.3391,41.5055,5.0,False
CAR,Carovilli (Italy; CAR),"Carovilli, Italy",https://sws.geonames.org/3180461/,-81.0,33,Italy,14.29403,41.71348,5.0,True
STR,Strongoli (Italy; STR),"Strongoli, Italy",https://sws.geonames.org/2522990/,-108.0,8,Italy,17.05413,39.26576,5.0,True
CAS,Casaleone (Italy; CAS),"Casaleone, Italy",https://sws.geonames.org/3180205/,-51.0,213,Italy,11.19401,45.16821,5.0,True
LUN,Luni (Italy; LUN),"Luni, Italy",https://sws.geonames.org/6299614/,-89.0,7,Italy,9.98503,44.08546,5.0,True
CAV,Cavriago (Italy; CAV),"Cavriago, Italy",https://sws.geonames.org/3179254/,-45.0,2,Italy,10.52591,44.69457,5.0,True
MAC,Maccarese (Italy; MAC),"Maccarese, Italy",https://sws.geonames.org/3174410/,-74.0,189,Italy,12.21975,41.87696,5.0,True
MAD,Maddaloni (Italy; MAD),"Maddaloni, Italy",https://sws.geonames.org/3174358/,-115.0,113,Italy,14.3823,41.03578,5.0,True
SUL,Sulmona (Italy; SUL),"Sulmona, Italy",https://sws.geonames.org/3166034/,,0,Italy,13.92578,42.04945,5.0,False
SUR,Surbo (Italy; SUR),"Surbo, Italy",https://sws.geonames.org/3166021/,-46.0,102,Italy,18.13456,40.39383,5.0,True
SUS,Sustinenza (Italy; SUS),"Sustinenza, Italy",https://sws.geonames.org/8504683/,-56.0,60,Italy,11.18365,45.15686,5.0,True
SY2,Syracuse (Sicily; SY2),"Syracuse, Sicily",https://sws.geonames.org/2523083/,-136.0,39,Sicily,15.28664,37.07542,5.0,True
MAN,San Mango sul Calore (Italy; MAN),"San Mango sul Calore, Italy",https://sws.geonames.org/3168096/,-75.0,65,Italy,14.97251,40.9589,5.0,True
SYR,Syracuse (Sicily; SYR),"Syracuse, Sicily",https://sws.geonames.org/2523083/,-88.0,164,Sicily,15.28664,37.07542,5.0,True
MAS,Maserà (Italy; MAS),"Maserà, Italy",https://sws.geonames.org/3173801/,-125.0,142,Italy,8.32526,46.13888,5.0,True
TAR,Tarentum (Italy; TAR),"Tarentum, Italy",https://sws.geonames.org/3165926/,,0,Italy,17.24707,40.46438,10.0,False
TDS,Terranova di Sicilia (Sicily; TDS),"Terranova di Sicilia, Sicily",https://sws.geonames.org/2524653/,-118.0,43,Sicily,14.24038,37.07381,5.0,True
CER,Cervia (Italy; CER),"Cervia, Italy",https://sws.geonames.org/3178998/,-82.0,27,Italy,12.34812,44.26204,5.0,True
TER,Terranova Pausania (Sardinia; TER),"Terranova Pausania, Sardinia",https://sws.geonames.org/3172086/,,0,Sardinia,9.50528,40.9224,5.0,False
CES,Cesena (Italy; CES),"Cesena, Italy",https://sws.geonames.org/3178957/,-82.0,33,Italy,12.24315,44.1391,5.0,True
MCR,Monte Carotto (Italy; MCR),"Monte Carotto, Italy",https://sws.geonames.org/3173007/,,0,Italy,13.06656,43.52828,5.0,False
CFV,Castel Franco Veneto (Italy; CFV),"Castel Franco Veneto, Italy",https://sws.geonames.org/3179684/,,0,Italy,11.92755,45.67146,5.0,False
MDI,Monteverde di Fermo (Italy; MDI),"Monteverde di Fermo, Italy",https://sws.geonames.org/3182749/,-92.0,37,Italy,13.57395,42.85351,5.0,True
CG1,Cerignola (Italy; CG1),"Cerignola, Italy",https://sws.geonames.org/3179075/,-36.0,15,Italy,15.89559,41.26523,5.0,True
MDP,Musile di Piave (Italy; MDP),"Musile di Piave, Italy",https://sws.geonames.org/3172422/,,0,Italy,12.54177,45.62057,5.0,False
CG2,Cerignola (Italy; CG2),"Cerignola, Italy",https://sws.geonames.org/3179075/,-100.0,57,Italy,15.89559,41.26523,5.0,True
CGN,Cergnano (Italy; CGN),"Cergnano, Italy",https://sws.geonames.org/3166708/,,0,Italy,9.70122,45.42755,5.0,False
ME1,Meolo (Italy; ME1),"Meolo, Italy",https://sws.geonames.org/3173580/,-27.0,209,Italy,12.45236,45.6197,5.0,True
ME2,Meolo (Albaredo d'Adige) (Italy; ME2),"Meolo (Albaredo d'Adige), Italy",https://sws.geonames.org/3183350/,-39.0,298,Italy,11.27843,45.31859,5.0,True
CHI,Civitella in Val di Chiana (Italy; CHI),"Civitella in Val di Chiana, Italy",https://sws.geonames.org/3178571/,-42.0,149,Italy,11.7229,43.41731,5.0,True
MES,Mesagne (Italy; MES),"Mesagne, Italy",https://sws.geonames.org/3173537/,-58.0,307,Italy,17.80774,40.55851,5.0,True
CIN,Cingoli (Italy; CIN),"Cingoli, Italy",https://sws.geonames.org/3178673/,-87.0,125,Italy,13.20787,43.37573,5.0,True
CIS,Cisterna di Latina (Italy; CIS),"Cisterna di Latina, Italy",https://sws.geonames.org/3178631/,-41.0,192,Italy,12.82808,41.5908,5.0,True
TNI,Terni (Italy; TNI),"Terni, Italy",https://sws.geonames.org/3165771/,-42.0,31,Italy,12.64329,42.56335,5.0,True
TOL,Tolfa (Italy; TOL),"Tolfa, Italy",https://sws.geonames.org/3165593/,-72.0,110,Italy,11.93216,42.15023,5.0,True
CLA,Claterna (Italy; CLA),"Claterna, Italy",https://sws.geonames.org/3171759/,-92.0,39,Italy,11.47136,44.44279,5.0,True
MIG,Mignano (Italy; MIG),"Mignano, Italy",https://sws.geonames.org/3173439/,-49.0,32,Italy,13.98552,41.40592,5.0,True
TR1,Taranto (Italy; TR1),"Taranto, Italy",https://sws.geonames.org/3165926/,-113.0,52,Italy,17.24707,40.46438,10.0,True
TR2,Taranto (Italy; TR2),"Taranto, Italy",https://sws.geonames.org/3165926/,-49.0,31,Italy,17.24707,40.46438,10.0,True
