bin_start_year,bin_end_year,port_id,name,longitude,latitude,foundation_year,start_uncertainty_halfwidth_years,active_probability
-700,-675,1172,"Lilybaion, Lilybee South port?",12.43,37.7937,-750.0,60.0,1.0
-700,-675,1173,"Lilybaion, Lilybee Main port",12.428115,37.808131,-750.0,60.0,1.0
-700,-675,1174,"Lilybaion, Lilybee North port?",12.443337,37.8124,-750.0,60.0,1.0
-700,-675,1176,"Motye, Motya",12.4646,37.8641,-750.0,60.0,1.0
-700,-675,1177,"Aigousa insula, anchorage of Roman fleet before the famous battle of the Egadi Islands (10 March 241 BC), Odysseus' port of the Cyclops? ",12.322489,37.934044,-750.0,60.0,1.0
-700,-675,1180,"Bucinna, Phorbantia insula",12.321625,38.00168,-10000.0,100.0,1.0
-700,-675,1187,,13.182596,38.71968,-1500.0,100.0,1.0
-700,-675,1189,"Panhormus, Panorme",13.368583,38.120398,-750.0,60.0,1.0
-700,-675,1190,"Solus, port of Solonte ",13.542862,38.081694,-750.0,60.0,1.0
-700,-675,1193,"Himera, Himere, on R Himeras",13.8215,37.9683,-729.0,10.0,1.0
-700,-675,1203,"Celsina, Phoenicusa, Phoinikoussa insula",14.5883,38.5569,-1500.0,100.0,1.0
-700,-675,1204,Didyma insula,14.8696,38.5739,-1500.0,100.0,1.0
-700,-675,1205,"Lipara on Liparos insula, Meligounis nesos",14.9568,38.4717,-1500.0,100.0,1.0
-700,-675,1207,"Aegina, Euonymus insula",15.0636,38.6256,-1500.0,100.0,1.0
-700,-675,1209,"Strongilos, Eolie, possibly Odysseus' stopover on the isle of Aeolos",15.244209,38.797457,-1500.0,100.0,1.0
-700,-675,1212,"Myle, Mylae ",15.2428,38.2177,-750.0,60.0,1.0
-700,-675,1243,"Hydros, Hydruntum, Otrante ",18.490869,40.148182,-750.0,60.0,1.0
-700,-675,1244,Port Tarentin ,18.4263,40.2871,-1500.0,100.0,1.0
-700,-675,1245,,18.409136,40.301208,-750.0,60.0,1.0
-700,-675,1247,"Brindes, Brentesium, Brundisium, Bronduse",17.948953,40.641441,-750.0,60.0,1.0
-700,-675,1249,,17.7983,40.7137,-750.0,60.0,1.0
-700,-675,1250.0999999999999,Karbina,17.6983,40.7596,-1500.0,100.0,1.0
-700,-675,1252,Gnathia ,17.391,40.8896,-750.0,60.0,1.0
-700,-675,1257,,16.997139,41.090957,-750.0,60.0,1.0
-700,-675,1263.0999999999999,,16.0811,41.3592,-1500.0,100.0,1.0
-700,-675,1267,,15.8378,41.519,-750.0,60.0,1.0
-700,-675,1268,"Coppa Nevigatta, on R Aquilo",15.8338,41.558,-5000.0,100.0,1.0
-700,-675,1271,"Apanestae, Apeneste",16.06038,41.69375,-750.0,60.0,1.0
-700,-675,1284,,15.05334,41.93962,-750.0,60.0,1.0
-700,-675,1298,Cupra Maritima,13.8534,43.034,-750.0,60.0,1.0
-700,-675,1302,Numana ,13.628195,43.50729,-750.0,60.0,1.0
-700,-675,1306,,13.175681,43.75246,-750.0,60.0,1.0
-700,-675,1319,"Pomposa, Etruscan Spina, at the outlet of R Padus",12.10256,44.6943,-750.0,60.0,1.0
-700,-675,1323,Hadriani ,12.17741,44.94566,-750.0,60.0,1.0
-700,-675,1326,"Atria, Etruscan Hatria ",12.067121,45.048536,-750.0,60.0,1.0
-700,-675,1345,"Eraclia, Port on R Anassum or Anaxum ",12.6573,45.6378,-1300.0,100.0,1.0
-700,-675,1347.1,,12.8872,45.6356,-1200.0,100.0,1.0
-700,-675,1348.1,,13.1286,45.7714,-1300.0,100.0,1.0
-700,-675,1348.2,,13.1542,45.7705,-1300.0,100.0,1.0
-700,-675,1349.1,,13.3203,45.7648,-1500.0,100.0,1.0
-675,-650,753.1,"Olbia, Punic port and Roman port",9.5057,40.9232,-750.0,60.0,1.0
-675,-650,756.1,Outlet of R Kaidris,9.734,40.373,-1500.0,100.0,1.0
-675,-650,765,"Caralis, Carales, on R Sulcis",9.112387,39.211683,-750.0,60.0,1.0
-675,-650,766.1,,9.005325,39.095552,-1500.0,100.0,1.0
-675,-650,766.2,,9.0236,39.0619,-1500.0,100.0,1.0
-675,-650,767,Nora ,9.01444,38.987048,-750.0,60.0,1.0
-675,-650,768,Nora ,9.012555,38.984715,-750.0,60.0,1.0
-675,-650,769,Nora ,9.012066,38.988036,-750.0,60.0,1.0
-675,-650,770,"Bitia, Bithia, Bioea ",8.8849,38.8956,-750.0,60.0,1.0
-675,-650,778,"Sulcis, Solci (export of copper?)",8.462004,39.06534,-750.0,60.0,1.0
-675,-650,780,,8.4887,39.1774,-750.0,60.0,1.0
-675,-650,781.1,,8.4601,39.5681,-7000.0,100.0,1.0
-675,-650,786,"Othaia, Othoca, on R Thyrsos",8.60849,39.86957,-750.0,60.0,1.0
-675,-650,786.1,,8.495,39.925,-4500.0,100.0,1.0
-675,-650,787,"Tarrai, Tharros, Tarrhos, Punic port",8.44,39.892,-750.0,60.0,1.0
-675,-650,787.1,"Tarrai, Tharros, Tarrhos, possible Nuragic port",8.4416,39.8789,-1500.0,100.0,1.0
-675,-650,788,"Tarrai, Tharros, Tarrhos",8.437959,39.859288,-750.0,60.0,1.0
-675,-650,788.1,,8.3936,39.9725,-1200.0,100.0,1.0
-675,-650,788.2,,8.3066,39.988,-1200.0,100.0,1.0
-675,-650,789,"Coracodes, Korakodes portus",8.409895,40.043873,-1200.0,100.0,1.0
-675,-650,793,Nymphaeus portus ,8.189645,40.616568,-750.0,60.0,1.0
-675,-650,803,"Turublum Minus, Lamos?, Telepylos?, possible port of the Laestrygonians and stopover of Odysseus, near famous Arktou Akra Prom.",9.275693,41.199135,-1500.0,100.0,1.0
-675,-650,830,"archaic landing place of Genua, Etruscan Cainua?",8.94388,44.409,-1000.0,100.0,1.0
-675,-650,847,,10.28083,43.87307,-750.0,60.0,1.0
-675,-650,849,,10.32724,43.76764,-750.0,60.0,1.0
-675,-650,850,,10.33555,43.73476,-750.0,60.0,1.0
-675,-650,853,,10.3934,43.6386,-5000.0,100.0,1.0
-675,-650,854,"Triturrita? Turrita? Near Portus Pisanus, Pisarum emporio, Liburnus Portus, Portus Herculis Liburni, Portus Labro, Etruscan Liburna",10.3343,43.5733,-5000.0,100.0,1.0
-675,-650,858.1,,10.531,43.099,-5000.0,100.0,1.0
-675,-650,859,"Populonio, Poplonium, Etruscan Fufluna, Pupluna",10.5014,42.9924,-750.0,60.0,1.0
-675,-650,860,"Falesia, Porto Falese ",10.559041,42.934297,-5000.0,100.0,1.0
-675,-650,862,Etruscan Fullona,10.757,42.917,-700.0,30.0,1.0
-675,-650,866,"Ilva, Aithalia, Ethalie ",10.273798,42.770152,-5000.0,100.0,1.0
-675,-650,867,"Argous portus, Argoos, ",10.329861,42.813066,-750.0,60.0,1.0
-675,-650,873,,10.09386,42.59297,-5000.0,100.0,1.0
-675,-650,880.1,,11.173,42.431,-1000.0,100.0,1.0
-675,-650,885,Oglasa insula,10.309211,42.331958,-5000.0,100.0,1.0
-675,-650,888.1,,11.2774,42.4201,-1000.0,100.0,1.0
-675,-650,893,"Regis, Regae ",11.6041,42.3122,-750.0,60.0,1.0
-675,-650,896,"Graviscae, port of Tarquinia, Etruscan Tarchuna, Tarchna, possible first settlement of Etruscan people",11.7066,42.2144,-750.0,60.0,1.0
-675,-650,906,"Pyrgoi, Pyrgi (also called The Towers), port of Agylle, Caere, Etruscan Chaire, Caisra, Cisra",11.9565,42.0152,-750.0,60.0,1.0
-675,-650,906.1,"Pyrgoi, Pyrgi (also called The Towers), port of Agylle, Caere, Etruscan Chaire, Caisra, Cisra",11.9604,42.015,-750.0,60.0,1.0
-675,-650,906.2,Etruscan submerged structure,11.977,41.9957,-750.0,60.0,1.0
-675,-650,909,"Alsium, port of Agylla, Caere, Coere, Etruscan Chaire, Caisra",12.100837,41.932961,-750.0,60.0,1.0
-675,-650,917,Ostia,12.290905,41.75752,-750.0,60.0,1.0
-675,-650,921,Ficana,12.35306,41.80187,-750.0,60.0,1.0
-675,-650,930,"Portus Tiberinus, near Pons Aemilius, oldest archaic port of Rome, close to Foro Romano and Horrea Agrippiana",12.4809,41.8892,-753.0,10.0,1.0
-675,-650,938,Castrum Inui,12.5113,41.5803,-750.0,60.0,1.0
-675,-650,943,"Antium, Nero's port, Etruscan Anth? Caenon?",12.628393,41.442702,-750.0,60.0,1.0
-675,-650,957,Pontia insula,12.964786,40.894781,-750.0,60.0,1.0
-675,-650,968.1,"Marica temple, sea-port of Minturnae",13.7645,41.2265,-700.0,30.0,1.0
