site,province_label,longitude,latitude,amphora_type,stamp_count,log1p_stamp_count,range_start_year,range_end_year
Populonia,Italia,10.483333,42.983333,Brindisian amphora,1,0.6931471805599453,-125,-25
Pozzuolo del Friuli,Italia,13.195556,45.987778,Lamboglia 2,2,1.0986122886681096,-125,-25
Revere,Italia,11.133333,45.05,Lamboglia 2,1,0.6931471805599453,-125,-25
Riolo,Italia,11.083333,44.616667,Dressel 6B,1,0.6931471805599453,-50,-1
Salapia,Italia,16.0,41.4,Brindisian amphora,1,0.6931471805599453,-125,-25
San Cataldo,Italia,18.3,40.383333,Brindisian amphora,10,2.3978952727983707,-125,-25
Santa Severa,Italia,11.95,42.033333,Dressel 1B,3,1.3862943611198906,-150,-1
Sardegna,Corsica et Sardinia,8.44,39.881944,Dressel 1,2,1.0986122886681096,-150,-1
Sardegna,Corsica et Sardinia,8.44,39.881944,Dressel 1C,1,0.6931471805599453,-150,-1
Sardegna,Corsica et Sardinia,8.44,39.881944,Dressel 2-4 Catalan,1,0.6931471805599453,-30,-1
Sardegna,Corsica et Sardinia,8.44,39.881944,Greco-Itálica,1,0.6931471805599453,-400,-100
Sardegna,Corsica et Sardinia,8.44,39.881944,Lamboglia 2,1,0.6931471805599453,-125,-25
Sardegna,Corsica et Sardinia,9.0,40.0,Brindisian amphora,2,1.0986122886681096,-125,-25
Sassuolo,Italia,10.783333,44.55,Dressel 2-4,1,0.6931471805599453,-30,-1
Segesta,Sicilia,12.833333,37.933333,Greco-Itálica,1,0.6931471805599453,-400,-100
Selinunte,Sicilia,12.816667,37.583333,Greco-Itálica,1,0.6931471805599453,-400,-100
Sermide,Italia,11.366667,45.0,Dressel 6B,1,0.6931471805599453,-50,-1
Sevegliano,Italia,13.306944,45.887778,Dressel 6B,1,0.6931471805599453,-50,-1
Sicilia,Sicilia,14.0,37.5,Brindisian amphora,2,1.0986122886681096,-125,-25
Spargi,Corsica et Sardinia,9.35,41.233333,Dressel 1A,6,1.9459101490553132,-150,-1
Susa,Italia,7.05,45.133333,Dressel 2-4,1,0.6931471805599453,-30,-1
Susa,Italia,7.05,45.133333,Dressel 6B,2,1.0986122886681096,-50,-1
Taranto,Italia,17.229722,40.476111,Brindisian amphora,5,1.791759469228055,-125,-25
Taranto,Italia,17.229722,40.476111,Dressel 1,1,0.6931471805599453,-150,-1
Taranto,Italia,17.229722,40.476111,Dressel 2-4,5,1.791759469228055,-30,-1
Taranto,Italia,17.229722,40.476111,Dressel 6A,1,0.6931471805599453,-50,-1
Taranto,Italia,17.229722,40.476111,Greco-Itálica,4,1.6094379124341003,-400,-100
Taranto,Italia,17.229722,40.476111,Lamboglia 2,14,2.70805020110221,-125,-25
Tivoli,Italia,7.166667,44.683333,Dressel 2-4,2,1.0986122886681096,-30,-1
Torre Valdaliga,Italia,11.75,42.116667,Dressel 2-4,1,0.6931471805599453,-30,-1
Torre Valdaliga,Italia,11.75,42.116667,Lamboglia 2,1,0.6931471805599453,-125,-25
Tortona,Italia,8.866667,44.9,Brindisian amphora,2,1.0986122886681096,-125,-25
Tortona,Italia,8.866667,44.9,Dressel 2-4,1,0.6931471805599453,-30,-1
Tortona,Italia,8.866667,44.9,Dressel 6A,12,2.5649493574615367,-50,-1
Tortona,Italia,8.866667,44.9,Dressel 6B,30,3.4339872044851463,-50,-1
Tortona,Italia,8.866667,44.9,Lamboglia 2,7,2.0794415416798357,-125,-25
Toscana,Italia,11.0,43.416667,Dressel 1,2,1.0986122886681096,-150,-1
Toscana,Italia,11.0,43.416667,Dressel 2-4 Catalan,1,0.6931471805599453,-30,-1
Tournus,Italia,6.75,44.466667,Dressel 1,7,2.0794415416798357,-150,-1
Trapani,Sicilia,12.483333,38.016667,Greco-Itálica,4,1.6094379124341003,-400,-100
Trieste,Italia,13.766667,45.666667,Dressel 6B,3,1.3862943611198906,-50,-1
Trinitapoli,Italia,16.083333,41.35,Lamboglia 2,3,1.3862943611198906,-125,-25
Turrida di Sedegliano,Italia,12.932778,46.029444,Lamboglia 2,1,0.6931471805599453,-125,-25
Ugento,Italia,18.166667,39.933333,Dressel 2-4,2,1.0986122886681096,-30,-1
Umbria,Italia,12.55,43.05,Dressel 2-4,4,1.6094379124341003,-30,-1
