ID_Internal,Reference,Region,Groundedness,Specified.Location,Pleiades,Latitude,Longitude,Date.Start,Date.End,Date.Start.Orig,Date.End.Orig,Object.Type,Inscription.Use,Alphabet,Alphabet.Direction,Language,Notes,Script
21635,EDCS-64900431,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-500,-451,-500,-451,,,6,,Latin,,
21627,EDCS-64900432,Sicily,,Castelvetrano / Selinus,1,37.58601668,12.82858176,-600,-501,-600,-501,,,6,,Latin,,
21882,EDCS-64900433,Sicily,,Gela,1,37.0630925,14.2584705,-350,-251,-350,-251,,,5,,Latin,,
21881,EDCS-64900434,Sicily,,Gela,1,37.0630925,14.2584705,-550,-451,-530,-471,,,6,,Latin,,
21864,EDCS-64900435,Sicily,,Gela,1,37.0630925,14.2584705,-550,-451,-530,-471,,,6,,Latin,,
21877,EDCS-64900489,Sicily,,Gela,1,37.0630925,14.2584705,-550,-451,-530,-471,,,6,,Latin,,
21875,EDCS-64900490,Sicily,,Gela,1,37.0630925,14.2584705,-475,-426,-470,-431,,,6,,Latin,,
21876,EDCS-64900491,Sicily,,Gela,1,37.0630925,14.2584705,-475,-426,-470,-431,,,6,,Latin,,
21873,EDCS-64900492,Sicily,,Gela,1,37.0630925,14.2584705,-475,-426,-470,-431,,,6,,Latin,,
21868,EDCS-64900493,Sicily,,Gela,1,37.0630925,14.2584705,-600,-551,-600,-551,,,6,,Latin,,
21867,EDCS-64900494,Sicily,,Gela,1,37.0630925,14.2584705,-575,-526,-570,-531,,,6,,Latin,,
21866,EDCS-64900495,Sicily,,Gela,1,37.0630925,14.2584705,-500,-451,-500,-451,,,6,,Latin,,
21865,EDCS-64900496,Sicily,,Gela,1,37.0630925,14.2584705,-500,-451,-500,-451,,,6,,Latin,,
21869,EDCS-64900497,Sicily,,Gela,1,37.0630925,14.2584705,-550,-451,-530,-471,,,6,,Latin,,
22460,EDCS-64900499,Sicily,,Santa Flavia / Soluntum,1,38.09308753,13.53165232,-100,-51,-100,-51,,,5,,Latin,,
22461,EDCS-64900500,Sicily,,Santa Flavia / Soluntum,1,38.09308753,13.53165232,-150,-101,-150,-101,,,5,,Latin,,
14918,EDCS-64900504,Aemilia,,Modena / Mutina,1,44.647057,10.925223,-25,-1,-13,-13,,,5,,Latin,,
18707,EDCS-64900507,Campania,,Teano / Teanum Sidicinum,1,41.2502785,14.0700745,-100,-26,-100,-31,,,5,,Latin,,
18708,EDCS-64900508,Campania,,Teano / Teanum Sidicinum,1,41.2502785,14.0700745,-100,-26,-100,-31,,,5,,Latin,,
16339,EDCS-64900510,Etruria Settentrionale,,Firenze / Florentia,1,43.7697955,11.2556404,-75,-26,-70,-31,,,5,,Latin,,
17149,EDCS-64900520,Campania,,Bacoli / Bauli,1,40.7951849,14.0803069,-525,-501,-525,-501,,,6,,Latin,,
17150,EDCS-64900521,Campania,,Bacoli / Bauli,1,40.7951849,14.0803069,-525,-476,-525,-481,,,6,,Latin,,
23201,EDCS-64900522,Umbria,,Spoleto / Spoletium,1,42.745301,12.73839,-50,-1,-50,-1,,,5,,Latin,,
23202,EDCS-64900523,Umbria,,Spoleto / Spoletium,1,42.745301,12.73839,-100,-26,-89,-44,,,5,,Latin,,
17823,EDCS-64900547,Latium,,Norma / Norba,1,41.59161028,12.96029033,-250,-101,-250,-101,,,5,,Latin,,
22628,EDCS-64900561,Sicily,,Termini Imerese / Thermae Himeraeae,1,37.9851965,13.6962535,-450,-401,-450,-401,,,5,,Latin,,
22627,EDCS-64900562,Sicily,,Termini Imerese / Thermae Himeraeae,1,37.9851965,13.6962535,-400,-351,-400,-371,,,5,,Latin,,
22583,EDCS-64900563,Sicily,,Termini Imerese / Thermae Himeraeae,1,37.9851965,13.6962535,-500,-451,-500,-451,,,6,,Latin,,
17011,EDCS-64900617,Etruria Meridionale,,Veii,1,42.021338,12.390519,-600,-501,-600,-501,,,6,,Latin,,
22530,EDCS-64900709,Sicily,,Syracuse,1,37.07007897,15.28333566,-250,-201,-250,-201,,,5,,Latin,,
